alpha_2_code,category_id,language,category_name,category_name_plural
AD,262,ca,parròquia,
AD,262,en,parish,parishes
AD,262,fr,paroisse,
AE,199,ar,imārah,
AE,199,en,emirate,emirates
AE,199,fr,émirat,
AF,321,en,province,provinces
AF,321,fa,wilāyat,
AF,321,fr,province,
AF,321,ps,wilāyat,
AG,298,en,dependency,dependencies
AG,298,fr,dépendance,
AG,429,en,parish,parishes
AG,429,fr,paroisse,
AL,322,en,county,counties
AL,322,fr,comté,
AL,322,sq,qark,
AM,106,en,region,regions
AM,106,fr,région,
AM,106,hy,marz,
AM,189,en,city,cities
AM,189,fr,ville,
AM,189,hy,k'aġak',
AO,155,en,province,provinces
AO,155,fr,province,
AO,155,pt,província,
AR,107,en,province,provinces
AR,107,fr,province,
AR,107,es,provincia,
AR,182,en,city,cities
AR,182,fr,ville,
AR,182,es,ciudad,
AT,392,de,Bundesland,
AT,392,en,state,states
AT,392,fr,État,
AU,324,en,territory,territories
AU,324,fr,territoire,
AU,393,en,state,states
AU,393,fr,État,
AZ,108,az,şәhәr,
AZ,108,en,municipality,municipalities
AZ,108,fr,municipalité,municipalités
AZ,325,az,rayon,
AZ,325,en,rayon,rayons
AZ,325,fr,district,
AZ,357,az,muxtar respublika,
AZ,357,en,autonomous republic,autonomous republics
AZ,357,fr,république autonome,
BA,237,bs,entitet,
BA,237,en,entity,entities
BA,237,fr,entité,
BA,237,hr,entitet,
BA,237,sr,entitet,
BA,438,bs,distrikt,
BA,438,en,district with special status,districts with special status
BA,438,fr,district,
BA,438,hr,distrikt,
BA,438,sr,distrikt,
BB,430,en,parish,parishes
BB,430,fr,paroisse,
BD,149,bn,zila,
BD,149,en,district,districts
BD,149,fr,district,
BD,274,bn,bibhag,
BD,274,en,division,divisions
BD,274,fr,division,
BE,390,de,Provinz,
BE,390,en,province,provinces
BE,390,fr,province,
BE,390,nl,provincie,
BE,391,de,Region,
BE,391,en,region,regions
BE,391,fr,région,
BE,391,nl,gewest,
BF,192,en,region,regions
BF,192,fr,région,
BF,235,en,province,provinces
BF,235,fr,province,
BG,361,bg,oblast,
BG,361,en,district,districts
BG,361,fr,district,
BH,338,ar,muḩāfaz̧ah,
BH,338,en,governorate,governorates
BH,338,fr,gouvernorat,
BI,275,en,province,provinces
BI,275,fr,province,
BI,275,rn,iprovense,
BJ,276,en,department,departments
BJ,276,fr,département,
BN,362,en,district,districts
BN,362,fr,district,
BN,362,ms,daerah,
BO,231,en,department,departments
BO,231,fr,département,
BO,231,es,departamento,
BQ,272,en,special municipality,special municipalities
BQ,272,fr,commune speciale,
BQ,272,nl,bijzondere gemeente,
BQ,272,,munisipio spesial,
BR,193,en,state,states
BR,193,fr,État,
BR,193,pt,estado,
BR,403,en,federal district,federal districts
BR,403,fr,district fédéral,
BR,403,pt,distrito federal,
BS,100,en,district,districts
BS,100,fr,district,
BS,474,en,island,islands
BS,474,fr,île,îles
BT,152,dz,dzongkhag,
BT,152,en,district,districts
BT,152,fr,district,
BW,277,en,district,districts
BW,277,fr,district,
BW,447,en,town,towns
BW,447,fr,chef-lieu,
BW,448,en,city,cities
BW,448,fr,ville,
BY,102,be,horad,
BY,102,en,city,cities
BY,102,fr,ville,
BY,102,ru,gorod,
BY,411,be,voblasts' / voblasc',
BY,411,en,oblast,oblasts
BY,411,fr,région,
BY,411,ru,oblast',
BZ,297,en,district,districts
BZ,297,fr,district,
CA,233,en,territory,territories
CA,233,fr,territoire,
CA,412,en,province,provinces
CA,412,fr,province,
CD,278,en,province,provinces
CD,278,fr,province,
CD,404,en,city,cities
CD,404,fr,ville,
CF,194,en,economic prefecture,economic prefectures
CF,194,fr,préfecture économique,
CF,194,sg,sêse tî kömändâ-kötä,
CF,339,en,prefecture,prefectures
CF,339,fr,préfecture,
CF,339,sg,sêse tî kömändâ-kötä,
CF,446,en,commune,communes
CF,446,fr,commune,
CF,446,sg,kötä gbätä,
CG,279,en,department,departments
CG,279,fr,département,départements
CH,153,de,Kanton,
CH,153,en,canton,cantons
CH,153,fr,canton,
CH,153,it,cantone,
CH,153,rm,chantun,
CI,460,en,autonomous district,autonomous districts
CI,460,fr,district autonome,
CI,461,en,district,districts
CI,461,fr,district,
CL,364,en,region,regions
CL,364,fr,région,
CL,364,es,región,
CM,130,en,region,regions
CM,130,fr,région,
CN,103,en,province,provinces
CN,103,fr,province,
CN,103,zh,sheng,
CN,195,en,autonomous region,autonomous regions
CN,195,fr,région autonome,
CN,195,zh,zizhiqu,
CN,268,en,special administrative region,special administrative regions
CN,268,fr,région administrative spéciale,
CN,268,zh,tebie xingzhengqu,
CN,397,en,municipality,municipalities
CN,397,fr,municipalité,
CN,397,zh,shi,
CO,104,en,department,departments
CO,104,fr,département,
CO,104,es,departamento,
CO,143,en,capital district,capital districts
CO,143,fr,district de la capitale,
CO,143,es,distrito capital,
CR,318,en,province,provinces
CR,318,fr,province,
CR,318,es,provincia,
CU,365,en,province,provinces
CU,365,fr,province,
CU,365,es,provincia,
CU,441,en,special municipality,special municipalities
CU,441,fr,municipalité spéciale,
CU,441,es,municipio especial,
CV,196,en,municipality,municipalities
CV,196,fr,municipalité,
CV,196,pt,concelho,
CV,313,en,geographical region,geographical regions
CV,313,fr,région géographique,
CV,313,pt,região geográfica,
CY,266,el,eparchia,
CY,266,en,district,districts
CY,266,fr,district,
CY,266,tr,kaza,
CZ,154,cs,kraj,
CZ,154,en,region,regions
CZ,154,fr,région,
CZ,197,cs,okres,
CZ,197,en,district,districts
CZ,197,fr,district,
CZ,465,cs,hlavní město,
CZ,465,en,capital city,capital cities
CZ,465,fr,ville capitale,
DE,198,de,Land,
DE,198,en,Land,Land
DE,198,fr,land,
DJ,218,ar,minţaqah,
DJ,218,en,region,regions
DJ,218,fr,région,
DJ,401,ar,madīnah,
DJ,401,en,city,cities
DJ,401,fr,ville,
DK,319,da,region,regioner
DK,319,en,region,regions
DK,319,fr,région,
DM,219,en,parish,parishes
DM,219,fr,paroisse,
DO,105,en,province,provinces
DO,105,fr,province,
DO,105,es,provincia,
DO,183,en,district,districts
DO,183,fr,district,
DO,183,es,distrito,
DO,449,en,region,regions
DO,449,fr,région,
DO,449,es,región,
DZ,366,ar,wilaya,
DZ,366,en,province,provinces
DZ,366,fr,province,
EC,320,en,province,provinces
EC,320,fr,province,
EC,320,es,provincia,
EE,407,en,county,counties
EE,407,et,maakond,
EE,407,fr,département,
EE,483,en,urban municipality,urban municipalities
EE,483,et,linn,
EE,483,fr,municipalité urbaine,
EE,484,en,rural municipality,rural municipalities
EE,484,et,vald,
EE,484,fr,municipalité rurale,
EG,316,ar,muḩāfaz̧ah,
EG,316,en,governorate,governorates
EG,316,fr,gouvernorat,
ER,317,ar,minţaqah,
ER,317,en,region,regions
ER,317,fr,région,
ER,317,ti,zoba,
ES,101,en,autonomous community,autonomous communities
ES,101,fr,communauté autonome,
ES,101,es,comunidad autónoma,
ES,180,en,autonomous city in North Africa,autonomous cities in North Africa
ES,180,fr,ville autonome en Afrique du Nord,
ES,180,es,ciudad autónoma en el Norte de África,
ES,408,en,province,provinces
ES,408,fr,province,
ES,408,es,provincia,
ET,363,am,kilil,
ET,363,en,regional state,regional states
ET,363,fr,État régional,
ET,409,am,āstedader,
ET,409,en,administration,administrations
ET,409,fr,administration,
FI,150,en,region,regions
FI,150,fi,maakunta,
FI,150,fr,région,
FI,150,sv,landskap,
FJ,353,en,dependency,dependencies
FJ,353,fr,dépendance,
FJ,410,en,division,divisions
FJ,410,fr,division,
FJ,450,en,province,provinces
FJ,450,fr,province,
FM,181,en,state,states
FM,181,fr,État,
FR,151,en,metropolitan department,metropolitan departments
FR,151,fr,département métropolitain,
FR,240,en,metropolitan region,metropolitan regions
FR,240,fr,région métropolitaine,
FR,305,en,dependency,dependencies
FR,305,fr,dépendance,
FR,368,en,overseas collectivity,overseas collectivities
FR,368,fr,collectivité d'outre-mer,
FR,475,en,metropolitan collectivity with special status,metropolitan collectivities with special status
FR,475,fr,collectivité métropolitaine à statut particulier,
FR,489,en,overseas collectivity with special status,overseas collectivities with special status 
FR,489,fr,collectivité d’outre-mer à statut particulier,
FR,490,en,overseas territory,overseas territories
FR,490,fr,territoire d'outre-mer,
FR,493,en,European collectivity,European collectivities
FR,493,fr,collectivité européenne,
FR,494,en,overseas unique territorial collectivity,overseas unique territorial collectivities
FR,494,fr,collectivité territoriale unique d'outre-mer,
FR,495,en,overseas departmental collectivity,overseas departemental collectivities
FR,495,fr,collectivité départementale d'outre-mer,
GA,394,en,province,provinces
GA,394,fr,province,
GB,112,en,council area,council areas
GB,112,fr,zone de conseil,
GB,113,en,two-tier county,two-tier counties
GB,113,fr,comté à 2 niveaux,
GB,283,en,district,districts
GB,283,fr,district,
GB,284,en,unitary authority,unitary authorities
GB,284,fr,autorité unitaire,
GB,369,en,metropolitan district,metropolitan districts
GB,369,fr,district métropolitain,
GB,370,en,London borough,London boroughs
GB,370,fr,arrondissement de Londres,
GB,402,en,city corporation,city corporations
GB,402,fr,corporation urbaine,
GB,491,en,country,countries
GB,491,fr,pays,
GB,492,en,province,provinces
GB,492,fr,province,
GD,242,en,parish,parishes
GD,242,fr,paroisse,
GD,351,en,dependency,dependencies
GD,351,fr,dépendance,
GE,201,en,region,regions
GE,201,fr,région,
GE,201,ka,mkhare,
GE,299,en,autonomous republic,autonomous republics
GE,299,fr,république autonome,
GE,299,ka,avt'onomiuri resp'ublik'a,
GE,314,en,city,cities
GE,314,fr,ville,
GE,314,ka,kalaki,
GH,114,en,region,regions
GH,114,fr,région,
GL,243,en,municipality,municipalities
GL,243,fr,commune,
GL,243,kl,kommunia,
GM,225,en,division,divisions
GM,225,fr,division,
GM,442,en,city,cities
GM,442,fr,ville,
GN,184,en,governorate,governorates
GN,184,fr,gouvernorat,
GN,346,en,administrative region,administrative regions
GN,346,fr,région administrative,
GN,415,en,prefecture,prefectures
GN,415,fr,préfecture,
GQ,244,en,province,provinces
GQ,244,fr,province,
GQ,244,pt,província,
GQ,244,es,provincia,
GQ,300,en,region,regions
GQ,300,fr,région,
GQ,300,pt,região,
GQ,300,es,región,
GR,185,el,aftonomi monastiki politeia,
GR,185,en,self-governed part,self-governed parts
GR,185,fr,partie auto-gouvernée,
GR,202,el,periféreia,
GR,202,en,administrative region,administrative regions
GR,202,fr,région administrative,
GT,372,en,department,departments
GT,372,fr,département,
GT,372,es,departamento,
GW,139,en,autonomous sector,autonomous sectors
GW,139,fr,secteur autonome,
GW,139,pt,sector autónomo,
GW,301,en,province,provinces
GW,301,fr,province,
GW,301,pt,província,
GW,416,en,region,regions
GW,416,fr,région,
GW,416,pt,região,
GY,302,en,region,regions
GY,302,fr,région,
HN,203,en,department,departments
HN,203,fr,département,
HN,203,es,departamento,
HR,115,en,county,counties
HR,115,fr,comté,
HR,115,hr,županija,
HR,347,en,city,cities
HR,347,fr,ville,
HR,347,hr,grad,
HT,116,en,department,departments
HT,116,fr,département,
HT,116,ht,depatman,
HU,204,en,county,counties
HU,204,fr,comitat,
HU,204,hu,megye,
HU,245,en,city with county rights,cities of county right
HU,245,fr,ville ayant un rang de comitat,
HU,245,hu,megyei jogú város,
HU,406,en,capital city,capital cities
HU,406,fr,ville capitale,
HU,406,hu,főváros,
ID,159,en,geographical unit,geographical units
ID,159,fr,unité géographique,
ID,205,en,province,provinces
ID,205,fr,province,
ID,205,id,provinsi,
ID,269,en,special region,special regions
ID,269,fr,région spéciale,
ID,269,id,daerah istimewa,
ID,358,en,capital district,capital districts
ID,358,fr,district de la capitale,
ID,358,id,daerah khusus ibukota,
IE,246,en,county,counties
IE,246,fr,comté,
IE,246,ga,contae,
IE,417,en,province,provinces
IE,417,fr,province,
IE,417,ga,cúige,
IL,354,en,district,districts
IL,354,fr,district,
IL,354,he,meẖoz,
IN,327,en,Union territory,Union territories
IN,327,fr,territoire de l’Union,
IN,373,en,state,states
IN,373,fr,État,
IQ,160,ar,muḩāfaz̧ah,
IQ,160,en,governorate,governorates
IQ,160,fr,gouvernorat,
IQ,496,ar,iqlīm,
IQ,496,en,region,regions
IQ,496,fr,région,
IQ,496,ku,herêm,
IR,418,en,province,provinces
IR,418,fa,ostān,
IR,418,fr,province,
IS,419,en,region,regions
IS,419,fr,région,
IS,419,is,landsvæði,
IS,485,en,municipality,municipalities
IS,485,fr,municipalité,
IS,485,is,sveitarfélagið,
IT,117,en,region,regions
IT,117,fr,région,
IT,117,it,regione,
IT,374,en,province,provinces
IT,374,fr,province,
IT,374,it,provincia,
IT,479,en,free municipal consortium,free municipal consortia
IT,479,fr,libre consortium communal,
IT,479,it,libero consorzio comunale,
IT,480,en,metropolitan city,metropolitan cities
IT,480,fr,ville métropolitaine,
IT,480,it,città metropolitana,
IT,481,en,autonomous province,autonomous provinces
IT,481,fr,province autonome,
IT,481,it,provincial autonoma,
IT,482,en,autonomous region,autonomous regions
IT,482,fr,région autonome,
IT,482,it,regione autonoma,
IT,486,en,decentralized regional entity,decentralized regional entities
IT,486,fr,entité régionale décentralisée,
IT,486,it,ente di decentramento regionale,
JM,118,en,parish,parishes
JM,118,fr,paroisse,
JO,420,ar,muḩāfaz̧ah,
JO,420,en,governorate,governorates
JO,420,fr,gouvernorat,
JP,247,en,prefecture,prefectures
JP,247,fr,département,
JP,247,ja,"to, dô, hu, ken",
KE,451,en,county,counties
KE,451,fr,comté,comtés
KG,187,en,city,cities
KG,187,fr,ville,villes
KG,187,ky,shaar,
KG,187,ru,gorod,
KG,328,en,region,regions
KG,328,fr,région,
KG,328,ky,oblus,
KG,328,ru,oblast',
KH,206,en,autonomous municipality,autonomous municipalities
KH,206,fr,municipalité autonome,
KH,342,en,province,provinces
KH,342,fr,province,
KH,342,km,khet,
KI,431,en,group of islands (20 inhabited islands),groups of islands (20 inhabited islands)
KI,431,fr,groupe d’îles (20 îles habitées),
KM,174,ar,jazīrah,
KM,174,en,island,islands
KM,174,fr,île,
KN,375,en,parish,parishes
KN,375,fr,paroisse,
KN,432,en,state,states
KN,432,fr,État,
KP,140,en,special city,special cities
KP,140,fr,ville spéciale,
KP,140,ko,si,
KP,207,en,province,provinces
KP,207,fr,province,
KP,207,ko,do,
KP,356,en,capital city,capital cities
KP,356,fr,ville capitale,
KP,356,ko,chikhalsi,
KP,473,en,metropolitan city,metropolitan cities
KP,473,fr,ville métropolitaine,
KP,473,ko,t’ŭkpyŏlsi,
KR,226,en,special city,special cities
KR,226,fr,ville spéciale,
KR,226,ko,teukbyeolsi,
KR,227,en,metropolitan city,metropolitan cities
KR,227,fr,ville métropolitaine,
KR,227,ko, gwangyeoksi,
